word,text
bĭ akhan,bĭ akhan
it,it
it dih bơl,it dih bơl
kăp,kăp
kăp dih bơl,kăp dih bơl
đuk,đuk
đuk dih bơl,đuk dih bơl
wă,wă
wă dih bơl,wă dih bơl
muôĭ,muôĭ
krăm,krăm
tơ gơ̆,tơ gơ̆
phĕch tơ gơ̆,phĕch tơ gơ̆
lêch agah,lêch agah
dơbeh lêch,dơbeh lêch
năm suôn,năm suôn
pôk suôn,pôk suôn
năm mưt,năm mưt
ăn mưt,ăn mưt
kơtech,kơtech
kăt,kăt
ŭnh sa,ŭnh sa
soh,soh
jĭ,jĭ
ơm ma jĭ,ơm ma jĭ
priêu,priêu
vĭh priêu,vĭh priêu
điêl,điêl
bơdô̆,bơdô̆
pơ̆k,pơ̆k
hniê̆,hniê̆
pơ̆m ja luôch,pơ̆m ja luôch
pơ̆m ja jĭ,pơ̆m ja jĭ
pơm ja tep,pơm ja tep
tep,tep
hngiêl tep,hngiêl tep
sa,sa
tơ drong xa,tơ drong xa
a nong xa,a nong xa
akhan,akhan
hla piêt,hla piêt
bơ̆l akhan,bơ̆l akhan
dĕk,dĕk
arih,arih
kơ sĕ,kơ sĕ
,
pĭh,pĭh
nhau,nhau
prol,prol
nhau,nhau
xrâp,xrâp
năm,năm
kuôl,kuôl
sŭp,sŭp
đoh,đoh
kơchŏ,kơchŏ
tơm (măt),tơm (măt)
tơpanh,tơpanh
uơ̆i,uơ̆i
tuih,tuih
tuh,tuh
kep tơnŏk,kep tơnŏk
sơ̆ kih,sơ̆ kih
năr 'yơ̆u,năr 'yơ̆u
sơnăm rŏng,sơnăm rŏng
năr dơning,năr dơning
'năr mơ yâu,'năr mơ yâu
xơ hnăm trŭh,xơ hnăm trŭh
